approve,classification,priority_bucket,priority_score,table,domain,status,column_count,blockers,warnings,migration_action,source_files
,PASS,P0,89,spine_connector_runs,connectors,active_candidate,14,,,candidate_for_explicit_alembic_migration_after_column_review,scripts/write_spine_files.py; src/socmint/database.py
,PASS,P0,89,spine_dossier_assertions,dossier,active_candidate,18,,,candidate_for_explicit_alembic_migration_after_column_review,scripts/write_spine_files.py; src/socmint/database.py
,PASS,P0,89,spine_raw_artifacts,evidence,active_candidate,18,,,candidate_for_explicit_alembic_migration_after_column_review,scripts/write_spine_files.py; src/socmint/database.py
,PASS,P0,89,spine_observations,identity,active_candidate,20,,,candidate_for_explicit_alembic_migration_after_column_review,scripts/write_spine_files.py; src/socmint/database.py
,PASS,P0,89,spine_seeds,identity,active_candidate,14,,,candidate_for_explicit_alembic_migration_after_column_review,scripts/write_spine_files.py; src/socmint/database.py
,PASS,P0,89,spine_subjects,identity,active_candidate,6,,,candidate_for_explicit_alembic_migration_after_column_review,scripts/write_spine_files.py; src/socmint/database.py
,PASS,P0,89,spine_validation_events,identity,active_candidate,12,,,candidate_for_explicit_alembic_migration_after_column_review,scripts/write_spine_files.py; src/socmint/database.py
,PASS,P0,85,retention_runs,connectors,active_candidate,6,,,candidate_for_explicit_alembic_migration_after_column_review,src/socmint/database.py
,PASS,P0,85,workbench_jobs,connectors,active_candidate,14,,,candidate_for_explicit_alembic_migration_after_column_review,src/socmint/database.py
,PASS,P0,85,identity_columns,identity,active_candidate,8,,,candidate_for_explicit_alembic_migration_after_column_review,var/venvs/v12_10_17/lib/python3.13/site-packages/sqlalchemy/dialects/mssql/information_schema.py
,PASS,P0,85,identity_edges,identity,active_candidate,10,,,candidate_for_explicit_alembic_migration_after_column_review,src/socmint/database.py
,PASS,P0,85,identity_graphs,identity,active_candidate,4,,,candidate_for_explicit_alembic_migration_after_column_review,src/socmint/database.py
,PASS,P0,85,identity_merge_candidates,identity,active_candidate,12,,,candidate_for_explicit_alembic_migration_after_column_review,src/socmint/database.py
,PASS,P0,85,identity_nodes,identity,active_candidate,9,,,candidate_for_explicit_alembic_migration_after_column_review,src/socmint/database.py
,PASS,P0,85,spine_contradictions,identity,active_candidate,12,,,candidate_for_explicit_alembic_migration_after_column_review,src/socmint/database.py
,PASS,P0,85,policy_gate_events,policy,active_candidate,7,,,candidate_for_explicit_alembic_migration_after_column_review,src/socmint/database.py
,PASS,P1,70,connector_runs,connectors,active_candidate,10,,,candidate_for_explicit_alembic_migration_after_column_review,src/socmint/database.py
,PASS,P1,70,all_tab_identity_cols,identity,active_candidate,73,,,candidate_for_explicit_alembic_migration_after_column_review,var/venvs/v12_10_17/lib/python3.13/site-packages/sqlalchemy/dialects/oracle/dictionary.py
,PASS_WITH_REVIEW_NOTES,P1,65,media_profile_enrichments,connectors,active_candidate,9,,possible indirect/rename coverage exists,human_review_for_rename_or_indirect_coverage,src/socmint/database.py
,REVIEW,P1,60,employee,uncategorized,active_candidate,0,no SQLAlchemy column hints extracted,,candidate_for_explicit_alembic_migration_after_column_review,var/venvs/v12_10_17/lib/python3.13/site-packages/sqlalchemy/ext/automap.py; var/venvs/v12_10_17/lib/python3.13/site-packages/sqlalchemy/ext/declarative/extensions.py; var/venvs/v12_10_17/lib/python3.13/site-packages/sqlalchemy/orm/decl_api.py; var/venvs/v12_10_17/lib/python3.13/site-packages/sqlalchemy/orm/mapper.py
